loseScore,drawScore,winScore,simulationTimes
-13,8,19,11100
-13,8,20,11000
-13,9,10,139900
-13,9,11,37200
-13,9,12,17800
-13,9,13,11700
-13,9,14,11800
-13,9,15,12200
-13,9,16,12500
-13,9,17,14100
-13,9,18,16200
-13,9,19,14900
-13,9,20,16800
-13,10,11,149500
-13,10,12,43200
-13,10,13,19600
-13,10,14,21500
-13,10,15,21200
-13,10,16,23800
-13,10,17,22600
-13,10,18,26600
-13,10,19,28600
-13,10,20,29700
-13,11,12,168500
-13,11,13,46100
-13,11,14,47000
-13,11,15,51600
-13,11,16,51100
-13,11,17,55200
-13,11,18,57700
-13,11,19,64400
-13,11,20,66400
-13,12,13,175600
-13,12,14,174600
-13,12,15,211900
-13,12,16,227300
-13,12,17,254300
-13,12,18,236600
-13,12,19,267200
-13,12,20,269300
-13,13,14,195000
-13,13,15,220600
-13,13,16,217800
-13,13,17,242700
-13,13,18,259800
-13,13,19,246300
-13,13,20,271600
-13,14,15,209300
-13,14,16,214000
-13,14,17,224900
-13,14,18,275600
-13,14,19,257700
-13,14,20,290700
-13,15,16,229400
-13,15,17,62000
-13,15,18,58100
-13,15,19,59200
-13,15,20,71800
-13,16,17,228900
-13,16,18,60400
-13,16,19,28900
-13,16,20,32200
-13,17,18,243000
-13,17,19,66700
-13,17,20,32800
-13,18,19,262600
-13,18,20,71400
-13,19,20,289800
-12,1,2,50200
-12,1,3,15000
-12,1,4,7500
-12,1,5,4300
-12,1,6,3300
-12,1,7,2700
-12,1,8,2100
-12,1,9,1700
-12,1,10,1500
-12,1,11,1300
-12,1,12,1300
-12,1,13,1300
-12,1,14,1400
-12,1,15,1500
-12,1,16,1500
-12,1,17,1800
-12,1,18,2000
-12,1,19,2000
-12,1,20,2200
-12,2,3,60200
-12,2,5,8700
-12,2,7,3500
-12,2,9,2100
-12,2,11,1700
-12,2,13,1700
-12,2,15,1900
-12,2,17,2300
-12,2,19,2400
-12,3,4,68100
-12,3,5,18100
-12,3,7,5800
-12,3,8,3800
-12,3,10,2400
-12,3,11,1900
-12,3,13,1800
-12,3,14,2000
-12,3,16,2400
-12,3,17,2600
-12,3,19,2900
-12,3,20,3100
-12,4,5,71600
-12,4,7,10200
-12,4,9,4100
-12,4,11,2600
-12,4,13,2400
-12,4,15,2600
-12,4,17,3300
-12,4,19,3600
-12,5,6,84800
-12,5,7,22000
-12,5,8,10700
-12,5,9,7200
-12,5,10,5300
-12,5,11,3700
-12,5,12,2700
-12,5,13,3200
-12,5,14,3500
-12,5,15,3700
-12,5,16,4000
-12,5,17,4200
-12,5,18,4300
-12,5,19,5300
-12,5,20,5300
-12,6,7,98400
-12,6,11,5400
-12,6,13,4300
-12,6,17,5600
-12,6,19,6900
-12,7,8,103600
-12,7,9,27600
-12,7,10,13800
-12,7,11,8300
-12,7,12,6000
-12,7,13,6500
-12,7,14,6900
-12,7,15,7700
-12,7,16,7700
-12,7,17,8300
-12,7,18,8800
-12,7,19,9500
-12,7,20,9900
-12,8,9,113300
-12,8,11,15000
-12,8,13,9400
-12,8,15,11500
-12,8,17,13500
-12,8,19,14200
-12,9,10,124300
